id;label;class
BCOLO;1;COL
BOGOTA;1;COL
BVC;1;COL
CELSIA;1;COL
CEMARGOS;1;COL
CNEC;1;COL
CORFICOL ;1;COL
ECOPETL;1;COL
ETB;1;COL
GEB;1;COL
GRUPOARG;1;COL
GRUPOBOL;1;COL
GRUPOSUR;1;COL
ISA;1;COL
MINEROS;1;COL
NUTRESA;1;COL
PFAVAL;1;COL
PFBCOLO;1;COL
PFCEMARG;1;COL
PFCORCOL;1;COL
PFDAVVND;1;COL
PFGRUPOA;1;COL
PFGRUPSU;1;COL
PROMIG;1;COL
TERPEL;1;COL
