"","BCOLO","BOGOTA","BVC","CELSIA","CEMARGOS","CNEC","CORFICOL ","ECOPETL","ETB","GEB","GRUPOARG","GRUPOBOL","GRUPOSUR","ISA","MINEROS","NUTRESA","PFAVAL","PFBCOLO","PFCEMARG","PFCORCOL","PFDAVVND","PFGRUPOA","PFGRUPSU","PROMIG","TERPEL"
"478",0.134139363928911,0.155259044085442,0.056680733216848,0.0264676924476337,0.317165252393205,0.220902457840408,0.158056027302847,0.32793109120615,0.200917258714587,0.0682051067354359,0.287256933996716,0.063572905028902,1,0.343452705387271,0.407859314468686,0.120710335568903,0.456409130749642,0.0503773360450494,0.137784699524057,0.0273506236713438,0.282503536152253,0.422443187489813,0.455265755838792,0.159602117695459,0.312197692396027
"479",0.216927456931163,0.108532653206439,0.130102813912715,0.0246515493171534,0.190693432712465,0.420971601435329,0.118711796667226,0.285377200620191,0.383016475619508,0.057716386337835,0.521283412023614,0.0482525034826495,1,0.37296724958195,0.446591312487013,0.254424591300116,0.647347860169538,0.0964578473864059,0.0954191076021191,0.0570430127218785,0.31327507235764,0.270288974319052,0.796481910748211,0.292521351649065,0.523231209295065
"480",0.190528557928704,0.080187427871546,0.0963802643408272,0.0165786975357951,0.353627517764361,0.369552452269577,0.0855502507957443,0.25065753774412,0.336335417070007,0.0398740193345656,0.408888918970591,0.0842059756519226,1,0.363825577551655,0.436177819159981,0.192758559306812,0.587889315742367,0.0808626523212908,0.170370260186573,0.0469150974686194,0.306290604082083,0.202767359883363,0.716910093292042,0.249767840086154,0.455706622743824
"481",0.190257462697399,0.0803866168520099,0.0965448253767112,0.0166423145185884,0.353630057236907,0.370396816520155,0.0857862532756114,0.251164600492547,0.337098077353412,0.0400194793701224,0.409274934675778,0.0842577594090539,1,0.363690900552019,0.436230563932762,0.193041114935172,0.587063664729215,0.0807846309404437,0.170428703818935,0.0468805648312687,0.306272136743229,0.203152839126806,0.718181364307245,0.249597287175467,0.455204334545306
"482",0.190501203893046,0.0805488295780733,0.0961330843770753,0.016588582961282,0.353714298168055,0.369413816844442,0.0856562723563577,0.25064757387026,0.336648284845568,0.0399423981353736,0.409308841859573,0.0843047709902847,1,0.36381241187881,0.436296980121453,0.192722435579881,0.587619406245524,0.0808927697464005,0.170492253400148,0.0469513587869993,0.305912878842237,0.203219704673542,0.717109531176957,0.249957050383812,0.455782347143724
"483",0.252546388522716,0.13553271088845,0.16009898526299,0.0327013536779034,0.226649573748745,0.15122428974971,0.149521233770547,0.278507803427052,0.257955245583224,0.0750161706894804,0.590504371423089,0.0611789976792378,1,0.380237451650774,0.455665437866179,0.305167335812101,0.727544866177833,0.118585234962581,0.118096579033123,0.0722522511233887,0.323537708909178,0.32565728060316,0.525305459032344,0.35638718805897,0.61898297140281
"484",0.175479513032527,0.0701548020137728,0.193612837341948,0.0141624143512903,0.127072766371314,0.514403112411313,0.0745327633466688,0.355894562911984,0.462237556032743,0.0344276861654204,0.358834823687185,0.0294839580035353,0.952233524647326,0.342903275511301,0.410566713347991,0.3592385763973,0.54673452101068,0.0739311197138608,0.0601849237061231,0.0426696614910956,0.388119756311823,0.177470193171693,1,0.229313493139812,0.419859850505794
"485",0.234389989778852,0.0912662189499329,0.22715956656349,0.0207321624703785,0.156632055367468,0.188872661588476,0.0988930590317657,0.353105037985781,0.324845198293657,0.048317592327485,0.412542204768909,0.0409106711638889,1,0.375221771130586,0.448663239406697,0.252616532520002,0.685729779270897,0.107631361556596,0.0799319315185457,0.0647656839298594,0.437509474333755,0.221553782703713,0.674309465938407,0.323458426425731,0.56836603843449
"486",0.175814203726598,0.193278580575738,0.200390464115545,0.0375803604187894,0.107189062229756,0.140656841623602,0.203482680309767,0.275431714904029,0.262101344100101,0.0926113404812302,0.303606838036412,0.0247252285053514,1,0.35746315935879,0.428205207653084,0.204023164377766,0.548959106838951,0.073686136382519,0.0505854669097838,0.0423468696209138,0.40432276433414,0.490153595800695,0.570218558889268,0.221481620140774,0.409430059039146
"487",0.174059726245683,0.0109410461111263,0.199491599766598,0.0126184752021317,0.138157931699813,0.353864976777506,0.0687642070898439,0.362817149440045,0.318237041609271,0.0311832209055349,0.312465780248385,0.0316358812411457,1,0.356125926744305,0.429261508090416,0.247978005167363,0.544767883042875,0.0726321450598634,0.0648869097637993,0.0415741700538698,0.404193751890678,0.0278314223967245,0.694484335768637,0.217701180646031,0.403802595174721
"488",0.172559612295588,0.0109141659029219,0.200560697812911,0.0127304038903809,0.138198357040506,0.351052408329868,0.0687265480933985,0.362214669041966,0.316648993141262,0.0312467761635125,0.312943569410708,0.0316719565436823,1,0.356294387308551,0.429043234500388,0.246721272479653,0.543411729022831,0.0719729507333154,0.0649280088100757,0.0411721141553753,0.406118444538153,0.0277789858065631,0.691503510960544,0.217056497786445,0.402683596253734
"489",0.241045430255953,0.027849491574269,0.181557687105734,0.0122517075872181,0.12799087117593,0.302948145433375,0.0730302675182559,0.350077215887151,0.272782754669526,0.0317440040838737,0.298688086473942,0.0267405378015241,1,0.345446210737998,0.414774075448713,0.213961450314997,0.824439005135057,0.065129864749196,0.056791722310422,0.514298939718125,0.381410778315162,0.0241882536286369,0.616331616198205,0.491315270095263,0.951064618832281
"490",0.220351695469949,0.0208672631244613,0.176858948309513,0.00906638076580678,0.336859202858575,0.39757092914903,0.0552775829736706,0.283992599406834,0.358565554687478,0.0237080165499481,0.299985074170732,0.0688685939452584,1,0.343763825629492,0.410878556694726,0.281157661711869,0.759927886146675,0.0591532068678175,0.14772003695865,0.454460123324944,0.375580511749263,0.117123185076718,0.816750259905549,0.434157079215097,0.848406945008692
"491",0.220314624597421,0.0201690644473038,0.169562764537828,0.00880866177373518,0.335456759555986,0.392105905357963,0.0540136191552848,0.280488295377945,0.354738667958508,0.0231399989867469,0.299838462783791,0.0679995537823351,1,0.342429026355711,0.410851024770945,0.283304351962267,0.756424991906866,0.0589717696993994,0.14642725441962,0.444806149657063,0.375448394973479,0.116142472892814,0.810133445476702,0.425497353123343,0.834422109100921
