"","AESANDES","AGUAS/A","ANDINAB","BCI","BSAN","CAP","CCU","CENCOSUD","CHILE","CMPC","COLBUN","CONCHA","COPEC","ECL","ENELAM","ENELCHIL","ENTEL","FALAB","IAM","ILC","ITAUCORP","PARAUCO","RIPLEY","SECUR","SMU","SONDA","SQM/B","VAPORES"
"427",0.10565479577095,0.040413690723133,0.226162806657349,0.22732551109595,0.0675285695958889,0.423388567520475,0.470846793554975,0.404205094491327,0.220872515826383,0.309257931519411,0.0457139439479656,0.248462751519389,1,0.263607770788515,0.447133689153369,0.119800595234333,0.0843526029010282,0.600976518750116,0.110882864842944,0.0944646649233227,0.0840198881204753,0.215165645030108,0.493136597391242,0.254581147249027,0.575704001671332,0.913827367547834,0.128982217080416,0.169413016246663
"428",0.101335334994022,0.0397668930878905,0.21955578627042,0.286162286135382,0.0669296097841971,0.441372243833497,0.465602945262962,0.398006937214577,0.221380284890255,0.301825677074454,0.107085780806775,0.241004606235519,1,0.266185319946369,0.442496961416785,0.284609866454027,0.104391568385868,0.610672787933632,0.110322429204178,0.0905140236373556,0.104608772806912,0.208309055004442,0.637822329045033,0.246507936579836,0.563802273211168,0.968366068761977,0.124171276005328,0.172828235500509
"429",0.275447488990214,0.0371743697883401,0.147075018465361,0.275479682124211,0.0407357641456202,0.445534997089919,0.304268628069161,0.260229521789482,0.135137953990852,0.253410406956246,0.102287519426118,0.161054055465266,0.663420129761015,0.258111772251567,0.111042408644404,0.276115556480121,0.0994340148052024,0.380120565093429,0.104760751709801,0.246748058706522,0.0992702725132948,0.138899290188818,0.630792345480377,0.679028715544161,0.381637515098554,1,0.102776381682239,0.171404136599783
"430",0.0844095130897175,0.0570449640059786,0.187406512090449,0.212056706391063,0.0607562744755778,0.438156796355147,0.426771480663758,0.36447158344709,0.201987098437167,0.270826974363459,0.0781530067266033,0.205196107595321,0.937085639742839,0.40425025494799,0.409023597781827,0.212843452693482,0.075530232083435,0.574367944329323,0.162111123694693,0.0753375976674456,0.0758735275206526,0.176945829782647,0.491748896761818,0.209148027676783,0.490308692252592,1,0.109094719714695,0.166634719230279
"431",0.106362867721107,0.0561928024727711,0.234074510527797,0.20791045239115,0.108568556348906,0.4262359263334,0.438376088186778,0.374483300202907,0.356291870444826,0.277806498489614,0.0778283273697036,0.406648483624633,0.957460967124766,0.392365117117095,0.420276536116312,0.210092392470843,0.0740794677202146,1,0.158530417023211,0.094953882073293,0.0747413508574446,0.220964287855839,0.479363037139721,0.262200484636227,0.608977463872643,0.966980981294276,0.112294116683539,0.162551066394379
"432",0.240564858646619,0.0842325163595217,0.189282724011693,0.204605862008279,0.0941968855747072,0.436430225479515,0.365631036806042,0.311954015158516,0.31411283243184,0.230554986346344,0.0761293065368992,0.414370191915348,0.809069472397029,0.600096215403708,0.350881515236062,0.207307858080606,0.0718181357216118,0.893740373154086,0.240274852915742,0.214188657193137,0.0725974217731471,0.179244384560206,0.482538324666391,0.149243976326758,0.498662950784371,1,0.0919278737304027,0.164029244575473
"433",0.155327416673113,0.0752633922223459,0.144861444747718,0.232127939976981,0.0734672386014212,0.420295354277116,0.266380262468617,0.227333148861543,0.253763019924458,0.166250900919678,0.0838237980029155,0.402899315916854,0.605650684517019,0.396200486667303,0.255588044668855,0.234369796143616,0.0796187668977077,0.744917146248033,0.21927498316877,0.354216344358194,0.0818812187137577,0.1375574641365,0.563910105961052,0.11450885253813,0.39272966836151,1,0.0644236953963294,0.153149692182709
"434",0.247583453088964,0.0645800932244581,0.194595570211179,0.167630480576707,0.110527234723393,0.434204566629112,0.364324447124877,0.311261943922328,0.37322952117503,0.227383272130301,0.0975025274602518,0.41296775893137,0.809699109929698,0.620603568038687,0.349658951719352,0.265652154933321,0.059096607016683,0.913515907321433,0.183671228761844,0.225205414698471,0.134548242090159,0.183143693801044,0.45770909401942,0.152674770782786,0.510202632713549,1,0.090364668539324,0.161912835443808
"435",0.309045155427798,0.107452155846774,0.191532627719,0.161243808399105,0.0733024053853721,0.508505529592984,0.270338016366131,0.231284184318239,0.25162233186418,0.167708413824136,0.11957343156396,0.406941687869452,0.608379629994006,0.787768788758719,0.259128791111317,0.330607554206234,0.15381893932904,0.726276373305384,0.311175274418564,0.282282394188696,0.0572836429769146,0.113705409021711,0.439958822236827,0.0950935437083543,0.322245158286335,1,0.0667475553774845,0.186317493512502
"436",0.18092328184453,0.0691275863239762,0.182696238338863,0.187884340268478,0.0654493034531024,0.493771512775962,0.227955382355258,0.195291689869672,0.227240956004891,0.139542593935594,0.0683051381446945,0.400837492064762,0.523578932102018,0.468031710867551,0.220010896664843,0.192400565970569,0.177809002747976,0.667095144427259,0.202591848327538,0.353462169529996,0.0656283487409356,0.100088724573733,0.518262613345036,0.0841461295844537,0.289299220778127,1,0.0543588769312029,0.177998569998389
"437",0.242775379718514,0.0786242832219516,0.180033647127297,0.20833608264818,0.0923529112426566,0.431322235264839,0.328742209971297,0.279187295449265,0.303385469124989,0.200361229079811,0.0951944709307276,0.411518611365556,0.733801838705561,0.611966697062777,0.317025247729228,0.260788091148091,0.195982339747665,0.848524984817951,0.223949147018872,0.222974473000614,0.0748368211158198,0.167668400978125,0.553442287516245,0.140219911078595,0.470495700902426,1,0.0799609578770486,0.159709494623946
"438",0.30700912711794,0.113479954095372,0.228666540617599,0.315849082172185,0.11524406504345,0.423756748891049,0.438104656682239,0.370011983493334,0.369407389957279,0.26876956080795,0.124338994862205,0.40206802105666,0.953286324522793,0.755801248013488,0.420673628270051,0.332501129538141,0.292865935829821,1,0.315967399798146,0.281714125372487,0.115967157323175,0.212931730670246,0.808382639379261,0.177837567903521,0.583264605991689,0.950969258038205,0.109965536600304,0.160621118444812
"439",0.214863111379409,0.0798170646901022,0.327399591422581,0.219235673164535,0.116724686877364,0.284924377732444,0.448203991879367,0.379155643417513,0.371540677896179,0.274646524588807,0.087409197835178,0.353401825566889,0.97460061438091,0.527369502664465,0.435414604609113,0.233053630187321,0.201812500128979,1,0.221625544998133,0.197034172762062,0.0808235774244151,0.304885929445726,0.555757546339971,0.253726777902279,0.831700188407085,0.642408755762708,0.112461329914053,0.108772833282058
