"","V1"
"1",0.829353733947853
"2",0.829353733947853
"3",0.829353733947853
"4",0.829353733947853
"5",0.829353733947853
"6",0.802829656622349
"7",0.802829656622349
"8",0.830640090189067
"9",0.830640090189067
"10",0.836817541612314
"11",0.836817541612314
"12",0.846287259281311
"13",0.843175466517849
"14",0.843175466517849
"15",0.830640090189067
"16",0.830640090189067
"17",0.827975777227987
"18",0.827975777227987
"19",0.827975777227987
"20",0.837344424437999
"21",0.858110786504246
"22",0.863381593137215
"23",0.863381593137216
"24",0.858110786504246
"25",0.849889595378469
"26",0.849889595378469
"27",0.849889595378469
"28",0.849889595378469
"29",0.860366732193939
"30",0.861211972901039
"31",0.853576752609883
"32",0.847565177885903
"33",0.847565177885903
"34",0.86479924226662
"35",0.86653348941109
"36",0.86653348941109
"37",0.86653348941109
"38",0.883844020005096
"39",0.874599648157219
"40",0.760734525475381
"41",0.760734525475381
"42",0.854999415055591
"43",0.8112953079872
"44",0.854999415055591
"45",0.760734525475383
"46",0.758502369735303
"47",0.850533264562488
"48",0.874599648157218
"49",0.855298742534002
"50",0.849140272979632
"51",0.850789900041562
"52",0.850789900041562
"53",0.850789900041562
"54",0.864792560770483
"55",0.853839976118987
"56",0.851670479369296
"57",0.853839976118987
"58",0.853839976118987
"59",0.851670479369296
"60",0.853839976118987
"61",0.833874405719064
"62",0.833874405719064
"63",0.853839976118987
"64",0.831738363462931
"65",0.798375024769391
"66",0.798375024769392
"67",0.805716406263215
"68",0.797355881293906
"69",0.852234703243829
"70",0.828613017164309
"71",0.838527906035046
"72",0.838527906035046
"73",0.838527906035047
"74",0.838527906035046
"75",0.838527906035046
"76",0.809304264161926
"77",0.809304264161926
"78",0.804046798217359
"79",0.801927664282031
"80",0.807257139011917
"81",0.807257139011917
"82",0.819928078200896
"83",0.833656043508431
"84",0.83416252140583
"85",0.83416252140583
"86",0.800454842611061
"87",0.800454842611061
"88",0.800454842611061
"89",0.800936009821169
"90",0.735876058098571
"91",0.813067008368884
"92",0.813067008368885
"93",0.813067008368884
"94",0.713136305692138
"95",0.771930031782259
"96",0.827130095446789
"97",0.827972273144417
"98",0.821635843779846
"99",0.828298950728635
"100",0.802889374488841
"101",0.828298950728635
"102",0.828298950728635
"103",0.828298950728635
"104",0.829260770370779
"105",0.830083820731755
"106",0.829260770370779
"107",0.829260770370779
"108",0.835629417669096
"109",0.835629417669096
"110",0.802889374488841
"111",0.811366081631668
"112",0.827972273144417
"113",0.827972273144417
"114",0.827972273144417
"115",0.844327441237275
"116",0.833753378194884
"117",0.818497401472698
"118",0.82975440594034
"119",0.829754405940341
"120",0.818497401472697
"121",0.833222415523267
"122",0.835807496750184
"123",0.835807496750184
"124",0.833222415523267
"125",0.845378093343852
"126",0.838453400493921
"127",0.853119399107579
"128",0.846295278995083
"129",0.853119399107579
"130",0.743591389109553
"131",0.798657129928874
"132",0.810352954777554
"133",0.765249503889939
"134",0.793163612777263
"135",0.771960666101935
"136",0.798295458404176
"137",0.744042815292569
"138",0.741179518071422
"139",0.751157512784299
"140",0.743786852642132
"141",0.744042815292569
"142",0.74404281529257
"143",0.774549388526919
"144",0.774549388526919
"145",0.7875475597293
"146",0.790057087977309
"147",0.78902267118881
"148",0.789199954107259
"149",0.766906330790335
"150",0.735266280650678
"151",0.761004963806438
"152",0.751547347317549
"153",0.817508879377962
"154",0.819855648167284
"155",0.836900078794899
"156",0.813939623584729
"157",0.764064770358239
"158",0.794915288574264
"159",0.733801243601035
"160",0.724686101225681
"161",0.724686101225681
"162",0.764819528699732
"163",0.7807978597894
"164",0.741830857001206
"165",0.778088548106112
"166",0.710401793727058
"167",0.713920106734396
"168",0.761775697862442
"169",0.753916450531874
"170",0.701601619994605
"171",0.694147667437966
"172",0.713939435357504
"173",0.68690868764276
"174",0.811603105227475
"175",0.815727283664765
"176",0.866249575369867
"177",0.860026303719061
"178",0.861408628865712
"179",0.858590251977964
"180",0.855451724233492
"181",0.856949955471992
"182",0.846020514483509
"183",0.839544720793091
"184",0.848039266119624
"185",0.848560517654381
"186",0.852973242514915
"187",0.839358649457242
"188",0.85502058552719
"189",0.822768012663028
"190",0.859819964238266
"191",0.780856857832617
"192",0.811003362770543
"193",0.806302194097666
"194",0.80691396941809
"195",0.789155579652944
"196",0.789155579652944
"197",0.801666981218219
"198",0.801666981218219
"199",0.801666981218219
"200",0.799407966551606
"201",0.799407966551605
"202",0.799407966551606
"203",0.825981126539898
"204",0.825981126539898
