"","AENZAC1","ALICORC1","ATACOBC1","BACKUSI1","BAP","BBVAC1","BVN","CASAGRC1","CORAREC1","CORAREI1","CPACASC1","CVERDEC1","ENDISPC1","ENGEPEC1","ENGIEC1","FERREYC1","GBVLAC1","IFS","INRETC1","MINSURI1","NEXAPEC1","PML","RELAPAC1","RIMSEGC1","SCCO","SIDERC1","TV","UNACEMC1","VOLCABC1"
"451",0.195846628557365,0.474931858971573,0.340122595058064,0.0628934356816923,0.52836316164644,0.48924486729352,0.0570181645258163,0.167581491637321,0.141593518826431,0.37259593774419,0.16631437749726,0.398485565753477,0.0568499367694878,0.176186689421571,0.178728247698624,0.173638026300078,0.0607376680812977,0.196144314636782,0.177720492408456,0.276786931959158,0.354429486555969,0.121589692182381,0.150014124448678,0.163282681589539,1,0.124149103541268,0.372789118007697,0.171440617188801,0.823418185882384
"452",0.207162206900606,0.251989920059856,0.264542822329081,0.193474611411694,0.548736005169402,0.501343746559948,0.0356811700512595,0.218098081519739,0.163115435477605,0.421707782278162,0.089409089096113,0.497609437047584,0.0384275473049248,0.0946907597536654,0.186302993794964,0.183620731407064,0.0933589552508539,0.206742139198961,0.184141731326513,0.219692535309981,0.359245489444754,0.0958437310351524,0.0996497199291385,0.14066930647776,1,0.143208950829072,0.370817779401278,0.0935317535875645,0.642060121530714
"453",0.20276978608808,0.265822523373962,0.269529212779658,0.196070994577552,0.537068243476939,0.507728466537175,0.0371637434020814,0.223287946722033,0.170498247096139,0.437938511558263,0.0947408261831026,0.500551396721826,0.0393776042398872,0.100569837181107,0.189927424341247,0.181214585149013,0.0965256433438586,0.199630847193622,0.18764116630525,0.222939271662786,0.360489146555649,0.0979513931761859,0.101813402696516,0.142077221200968,1,0.149764762479922,0.371937637618732,0.0994381589134027,0.650471320054777
"454",0.188487137696968,0.45996435106362,0.317789686187257,0.182798587008813,0.510597328592827,0.487967004426804,0.0325120804661741,0.206177818633846,0.139600187255744,0.368050647914932,0.160770656031335,0.477730657441699,0.0440927512267898,0.170374445060111,0.178190640635524,0.170128753184546,0.0864223611698741,0.184867137260014,0.176565237201403,0.268124015147618,0.352314962782424,0.113739376862774,0.116772284167206,0.134358232513415,1,0.123241027209812,0.359863135526877,0.167951160257276,0.803732595651608
"455",0.188396321854067,0.493884634297678,0.351021223790949,0.18534265992505,0.506848947971671,0.417130879636738,0.0333602478224359,0.209517118408971,0.14921816335455,0.391937991230268,0.173592349990165,0.48249255441149,0.0487111226930488,0.183486171976849,0.152915959872757,0.169524495325827,0.0883319129425096,0.182410811286074,0.0528836189042613,0.284914712615859,0.354138445259585,0.145306284543777,0.129002436720109,0.136588290553322,1,0.131736449328491,0.364393399562257,0.181180007751449,0.849888522800304
"456",0.187169018053336,0.497839416842925,0.352418355326456,0.184664272814611,0.503528081512687,0.419643656430915,0.0332222831438429,0.208030422059373,0.150151450953611,0.39404849705477,0.175173001743554,0.480262174242651,0.0488581850565883,0.185151761030027,0.154872079445934,0.16871755680885,0.0878798080987967,0.1801285994769,0.0531788592513441,0.28562456278958,0.355297580127035,0.145976038146838,0.129329277090805,0.136923631152894,1,0.132576005940331,0.365002798344652,0.182873251814024,0.852775893332887
"457",0.186233555165063,0.459055858664333,0.319405863004409,0.179293587413566,0.506977002503051,0.489735286779769,0.0724992129414302,0.196213083795289,0.140416662754829,0.370800367683467,0.159580918084,0.469511615482128,0.0422772729748361,0.168691859010499,0.178959582619495,0.194192355092633,0.0708322678480575,0.178330717911634,0.176219495762276,0.269997926723223,0.352143917881878,0.114183425791323,0.114404111358554,0.134789317325908,1,0.124074430142449,0.361569578355998,0.166571583890708,0.80981199659569
"458",0.170336758723159,0.497470176312981,0.219769018627568,0.149177369922833,0.468588139786275,0.414698735908386,0.0845266956956908,0.0835389581073327,0.174208737632538,0.457340493601231,0.170730950836989,0.388550949816501,0.0295759543624435,0.182759641047813,0.152059443515786,0.151264463169672,0.236082228293517,0.183014411366428,0.0741170744993003,0.212577055973071,0.332412870936195,0.0266530559336613,0.0795579690257491,0.129984061903648,1,0.152631481716749,0.345383224985602,0.182269550458227,0.642790350867425
"459",0.269981036165341,0.449873166312629,0.296194854154297,0.165452439831912,0.716408450973684,0.167105534644131,0.0859210933896725,0.084932485155237,0.192823477123375,0.483484365853287,0.16023131464465,0.41290541703048,0.044172527444711,0.17257165134268,0.0639574904254491,0.241267503498555,0.229900990306052,0.247691030163067,0.38066042780351,0.230065551348336,0.347973728282664,0.143181437568615,0.113741722055036,0.145209283360052,1,0.168174116368073,0.369677647128484,0.114372891781213,0.675997336921642
"460",0.265057018352913,0.597629927268509,0.260948516917276,0.165110642006868,0.71241997274362,0.162158152277767,0.104847241590217,0.0943254046879563,0.188976265178027,0.477172167957111,0.211617309423136,0.412785135925436,0.0387664571506579,0.228308946115409,0.0619617061203562,0.237722353208179,0.255794468240404,0.280900837116582,0.372394374974314,0.244965001203707,0.341935661026244,0.138667163519026,0.0999698338470483,0.145392173249348,1,0.164845935934925,0.370770969215992,0.227757424791779,0.717216457447439
"461",0.149008821236472,1,0.133128479735974,0.167389587144582,0.43095974257271,0.356801253663767,0.305284518324566,0.180827082605212,0.154997505979527,0.409810378747869,0.329528464795635,0.437944433103686,0.362702331397874,0.372438630297253,0.123717126844932,0.129087734497035,0.063527564314806,0.129163375133097,0.162243217916275,0.128703591366105,0.28173529754734,0.0580534637273995,0.0413584329694284,0.123677050348616,0.977947854812359,0.134905615525777,0.330480425774973,0.355700868312186,0.397720170588211
"462",0.120551046203595,1,0.0370285527647086,0.146721833344082,0.356175958742743,0.107003689710399,0.300000328612129,0.158111672329042,0.13472829753468,0.35965458629283,0.326644159401677,0.387996052916078,0.359133474665749,0.369068265001432,0.161262080149649,0.104919549515703,0.0549768513214649,0.0972376234518743,0.447263031131533,0.315911452711812,0.25149196289246,0.158513087757623,0.0113931848148002,0.108233881851727,0.879643861077157,0.117437844189792,0.29428574949212,0.356262344581648,0.112010109368484
