id;label;class
AENZAC1;1;PER
ALICORC1;1;PER
ATACOBC1;1;PER
BACKUSI1;1;PER
BAP;1;PER
BBVAC1;1;PER
BVN;1;PER
CASAGRC1;1;PER
CORAREC1;1;PER
CORAREI1;1;PER
CPACASC1;1;PER
CVERDEC1;1;PER
ENDISPC1;1;PER
ENGEPEC1;1;PER
ENGIEC1;1;PER
FERREYC1;1;PER
GBVLAC1;1;PER
IFS;1;PER
INRETC1;1;PER
MINSURI1;1;PER
NEXAPEC1;1;PER
PML;1;PER
RELAPAC1;1;PER
RIMSEGC1;1;PER
SCCO;1;PER
SIDERC1;1;PER
TV;1;PER
UNACEMC1;1;PER
VOLCABC1;1;PER
