"","V1"
"1",0.849959906902477
"2",0.849959906902477
"3",0.841636102469361
"4",0.841636102469361
"5",0.740078989017999
"6",0.782114574755802
"7",0.772846892998838
"8",0.761206329193208
"9",0.753584410127936
"10",0.751187188442504
"11",0.734264099256376
"12",0.834670904815323
"13",0.822275670907813
"14",0.828908275391141
"15",0.828908275391141
"16",0.793836122992847
"17",0.806216122593756
"18",0.814140299929455
"19",0.837185805074765
"20",0.86196652529826
"21",0.814524916907304
"22",0.832932240850626
"23",0.853417001373063
"24",0.840023740396792
"25",0.846149606368815
"26",0.845511752374478
"27",0.834172262670344
"28",0.79942146187348
"29",0.809996151468179
"30",0.808472309416925
"31",0.793238210437255
"32",0.766475500267672
"33",0.766475500267673
"34",0.771218971703359
"35",0.79107833488281
"36",0.806571236408804
"37",0.852954064087159
"38",0.801485082087001
"39",0.852954064087159
"40",0.825977145331253
"41",0.812566395733443
"42",0.812566395733443
"43",0.825977145331253
"44",0.828341305093728
"45",0.821748346234167
"46",0.821748346234167
"47",0.812282862586527
"48",0.812282862586527
"49",0.786761906744272
"50",0.812282862586527
"51",0.828881716172342
"52",0.857691058386809
"53",0.839335419012095
"54",0.849797642124842
"55",0.838711094157247
"56",0.813660884816902
"57",0.854776739237015
"58",0.857792033479265
"59",0.85507825921218
"60",0.838036179658373
"61",0.811828706820497
"62",0.829254619366587
"63",0.810428165819794
"64",0.75273719119867
"65",0.829986385028017
"66",0.834828591845455
"67",0.850398181599223
"68",0.828030913031354
"69",0.828030913031354
"70",0.737144508670773
"71",0.737144508670773
"72",0.767252859792181
"73",0.765587510450913
"74",0.765587510450913
"75",0.778321358589579
"76",0.770172902972221
"77",0.776440747815516
"78",0.776440747815516
"79",0.807318249481308
"80",0.807318249481308
"81",0.804701866452683
"82",0.804701866452683
"83",0.778923746361047
"84",0.802317030493201
"85",0.798856356598508
"86",0.794901876755077
"87",0.794901876755077
"88",0.805670307516495
"89",0.805670307516495
"90",0.804351869878931
"91",0.805106597749676
"92",0.83622741878272
"93",0.83622741878272
"94",0.827709561049854
"95",0.836036406445589
"96",0.798810618781873
"97",0.827191827886082
"98",0.827191827886082
"99",0.86009187547718
"100",0.867450501885305
"101",0.838415494355655
"102",0.837224344565064
"103",0.805958957759107
"104",0.809721374151379
"105",0.826797288709849
"106",0.820421735275924
"107",0.820421735275924
"108",0.831526912079316
"109",0.819175667847116
"110",0.796235277196433
"111",0.861507942892636
"112",0.865614714197076
"113",0.855273722009053
"114",0.857177272253976
"115",0.848983171777412
"116",0.859487568692727
"117",0.855945013560555
"118",0.86026110006601
"119",0.884769850220353
"120",0.841413668708325
"121",0.865051519393909
"122",0.887600881800659
"123",0.863162881953822
"124",0.868161242145975
"125",0.866446709148087
"126",0.869253716027377
"127",0.865037301233033
"128",0.865085309161784
"129",0.868860926894875
"130",0.859928169751609
"131",0.859928169751609
"132",0.858437490355327
"133",0.859991386705285
"134",0.864481944079472
"135",0.864481944079472
"136",0.85998861877672
