"","AC","ALFAA","ALSEA","AMXL","ASURB","BBAJIOO","BIMBOA","BOLSAA","CEMEXCPO","CUERVO","ELEKTRA","FEMSAUBD","GAPB","GCARSOA1","GCC","GFINBURO","GFNORTEO","GMEXICOB","GRUMAB","KIMBERA","KOFUBL","LABB","LIVEPOLC","MEGACPO","OMAB","ORBIA","PE&OLES","PINFRA","Q","RA","SITESB1","TLEVICPO","VESTA","WALMEX"
"720",0.014342530477645,0.0605762378250518,0.0543827100038417,0.0259955499829468,0.144254106690869,0.217476936574934,0.191365138200821,0.386865723102042,0.043507976896968,0.066826575405546,0.0902054644950117,0.0731672769720391,0.42374767800184,0.283473595432131,0.017488613451746,0.515738349289478,1,0.0349778452502461,0.00655383918975794,0.018433344758676,0.0361332397858038,0.20510647423776,0.15561116017751,0.432076703798575,0.137359748360135,0.133727494393689,0.0159529051374801,0.0137238278399101,0.156032789217976,0.597250159491934,0.16135799800539,0.0777133209696154,0.375149098177706,0.391331405051834
"721",0.0146856959636817,0.038484337413834,0.0560548347853984,0.0240848728665136,0.152000963560114,0.206219675564699,0.161964672128028,0.256278597645767,0.0074411051043712,0.0422803699932782,0.0840504748937476,0.0720490883653864,0.396676936771076,0.212679275235432,0.00278431124810288,0.457630288776243,1,0.414761718153069,0.0679335628745461,0.00726424649742639,0.0396557651443621,0.101206073194323,0.104735004622816,0.398348785453474,0.0988199091747439,0.0780663658159895,0.174498695656008,0.0140451703427719,0.0949561403096449,0.504289126165507,0.139812630333588,0.0185234179378519,0.350763868795528,0.368967879794169
"722",0.0164217928903883,0.0437876188045725,0.0594895756772329,0.0262529361248584,0.159404593998829,0.161060746559614,0.172870867707981,0.214648310811205,0.407390080551543,0.0481653348330096,0.0221976306367257,0.0776255932375972,0.405920585325495,0.235627358428741,0.154569268523811,0.476346347303481,1,0.00879856295073808,0.00149307949409901,0.00354600720249472,0.0439118613221501,0.0540487724134496,0.118125321820385,0.355557659559894,0.102329464630382,0.109497806774203,0.00381691615641307,0.0157188528733316,0.0825140476036693,0.483473236155382,0.00899562058308287,0.020983394025284,0.354372457464825,0.374089964345815
"723",0.0145807932462793,0.022105933892134,0.0478759066327602,0.0207342998625065,0.134394918936256,0.150654838853518,0.0140456025134883,0.169653543889629,0.381566225901712,0.0243242980986593,0.0706079759364125,0.0636952554112867,0.376773924079062,0.133520048572936,0.13706031140729,0.360933945283121,1,0.0070977997374076,0.00109952955789063,0.00275405938919361,0.0404950865090431,0.027701590086602,0.0620610832260628,0.403628206979497,0.0925063122451763,0.356665537263249,0.00292215519108228,0.0138666416202825,0.0638979340006958,0.379630505168489,0.00726353764332931,0.0178942836836527,0.341405384900251,0.360413945577074
"724",0.0153089138684954,0.0226494917831782,0.0381949451833498,0.00471283637189556,0.10856078563655,0.143290443709023,0.0151333197573916,0.17200720695932,0.383236619968999,0.0244867135255182,0.0652517790102046,0.0146611587702596,0.379478611016833,0.136675300442156,0.137095991577683,0.365759850104095,1,0.0283488398957703,0.00455481834846453,0.0102066390950105,0.0427044966874339,0.0248918536577282,0.0637872514820093,0.411086667856023,0.111955934139401,0.350823211125897,0.0119575646599597,0.0144581530822071,0.0642276718260714,0.372285812179652,0.0275498423160545,0.0691286755362439,0.342006175511141,0.353500308168084
"725",0.0104225998887506,0.0259656182500598,0.0371829456451336,0.00322300266601105,0.106661974464507,0.141087014218317,0.147370714568781,0.169186236554895,0.379930330578076,0.0277812358503522,0.0635185181751528,0.0100940970517576,0.375991990591064,0.156354535057277,0.134945004788191,0.420696950243144,1,0.0246468983908623,0.0039014301227578,0.00877954668325011,0.0296731138079795,0.0240919667509617,0.0728880858612661,0.407030543895451,0.107785853687541,0.345772482677181,0.0103066800304805,0.00990314245616603,0.0628224206241461,0.370281658499919,0.023997939302397,0.0606786572563593,0.337169648350484,0.34991057581755
"726",0.00359053796154841,0.026749955167499,0.0377751825470057,0.00789479789441587,0.108015565193922,0.114851051002726,0.147740572015937,0.169577254925613,0.377792153057978,0.0279045487884423,0.00186040253781482,0.0246230170618299,0.376224761552683,0.15491770930915,0.132909136033649,0.42068312540031,1,0.0238917203643075,0.00375493495113111,0.00859502968147609,0.0101779355924305,0.000727939053076502,0.0735989642858581,0.407968897477527,0.107044028067978,0.346518020007802,0.00993125181007367,0.00411171977446811,0.0630028383453639,0.363278573841038,0.0233123077392503,0.0585177716091034,0.337917019119555,0.35117747564736
"727",0.00827384323144153,0.0249465360716981,0.0378675119723493,0.0178757415463111,0.107770130556905,0.121380831722607,0.146169278611869,0.166183220748137,0.380125172399411,0.0262869317452183,0.00421356672883648,0.0561064737612121,0.377479839274063,0.148779115633502,0.133959827777716,0.41604578279645,1,0.010426086336889,0.0016089076053251,0.00369142644877185,0.0232610774226413,0.00163810236967651,0.069429933813522,0.404644188519401,0.107525351496727,0.344552823832496,0.00432394119370804,0.00937235549075543,0.0613438070028215,0.376052303320307,0.0100778207507384,0.0252040218653911,0.336423326900769,0.345201879153187
"728",0.00540205300954568,0.0169030801799078,0.0297978744051151,0.0114198576813629,0.0906300653511751,0.347554482851306,0.123394053200647,0.137154642305683,0.348916578638947,0.0178618236609705,0.00178555697877808,0.0383119059307481,0.345420879743664,0.120827911442656,0.115452599939706,0.373716921531373,1,0.377532933385079,0.0500824742231084,0.00185919240959671,0.0142250820398032,0.136604274536363,0.0503494697202092,0.365984797946706,0.088113385685922,0.372431938137,0.143745726125041,0.00496341986974018,0.0474366277513095,0.105137786461115,0.00419286574442015,0.0128950973847978,0.315039999827034,0.322122173108088
"729",0.0117189583638378,0.0535640516244041,0.0454151298402379,0.0237482121230764,0.12287318363967,0.112773527101393,0.181394666949275,0.185066044701899,0.400492476829888,0.0565933662996772,0.00509345084883397,0.0714713490660092,0.402317429705656,0.284055207375831,0.147655240538161,0.489059040175928,1,0.0149152410725586,0.00254932062630479,0.108676787332322,0.0313902382145203,0.176215175481156,0.143096800968824,0.427399440802006,0.123390062290968,0.431261817627214,0.00655449939178743,0.0127015960920768,0.0714260118090258,0.0386106209210626,0.0123963927240555,0.0340173834377206,0.350931759120445,0.360769222568753
